Cghs Rate List1500.00,,,,,,,
SNo.,Procedure Name,Speciality Classification,Tier,Facility,Ward,Cghs Code No.,Rate (?)
33,Platelet Function Tests,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB030,1265.00
34,"Tests for Hypercoagulable States- Protein C, Protein S, Antithrombin",Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB031,3380.00
35,Tests for Lupus Anticoagulant,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB032,1300.00
36,"Tests for Antiphospholipid Antibody IgG, IgM (for Cardiolipin and B2 Glycoprotein 1)",Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB033,1000.00
37,Thalassemia Studies (Red Cell Indices and Hb HPLC),Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB034,1000.00
38,Tests for Sickling / Hb HPLC),Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB035,1000.00
39,Blood Group & Rh Type,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB036,90.00
40,Cross Match,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB037,200.00
41,Coomb-s Test - Direct,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB038,200.00
42,Coomb-s Test - Indirect,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB039,250.00
43,3 Cell Panel- Antibody Screening for Pregnant Female,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB040,1050.00
44,11 Cells Panel for Antibody Identification,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB041,2285.00
45,Hepatitis B Surface Antigen (HBsAg),Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB042,300.00
46,Hepatitis C Virus (HCV),Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB043,500.00
47,Human Immunodeficiency Virus- HIV I and II,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB044,385.00
48,Venereal Disease Research Laboratory Test (VDRL),Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB045,100.00
49,Rh Antibody Titre,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB046,300.00
50,Platelet Concentrate Test,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB047,1000.00
51,Routine - H & E,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB048,545.00
52,Special Stain,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB049,200.00
53,Histopathology Examination (HPE) - Frozen Section,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB050,1500.00
54,Histopathology Examination (HPE) - Paraffin Section,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB051,500.00
55,Pap Smear,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB052,400.00
56,Body Fluid for Malignant cells,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB053,350.00
57,"Paroxysmal Nocturnal Haemoglobinuria (PNH) Panel- CD55, CD59",Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB054,1500.00
58,Blood Glucose Random / Blood Glucose Fasting /Blood Glucose PP,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB055,40.00
59,"24 Hrs Urine for Proteins, Sodium, Creatinine",Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB056,300.00
60,Blood Urea Nitrogen (BUN) / Urea,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB057,100.00
61,Serum Creatinine,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB058,100.00
62,Urine Bile Pigment and Salt,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB059,70.00
63,Urine Urobilinogen,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB060,70.00
64,Urine Ketones,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB061,70.00
65,Urine Occult Blood,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB062,70.00
66,Urine Total Proteins,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB063,70.00
67,Rheumatoid Factor / Rh Factor Test,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB064,750.00
68,Bence Jones Protein,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB065,100.00
69,Serum Uric Acid,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB066,150.00
70,Serum Bilirubin total & direct,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB067,150.00
71,Serum Iron,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB068,250.00
72,C-Reactive Protein (CRP),Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB069,250.00
73,C-Reactive Protein (CRP) Quantitative,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB070,300.00
74,"Body Fluid (CSF/Ascitic Fluid etc.) Sugar, Protein etc.",Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB071,300.00
75,Albumin,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB072,50.00
76,Creatinine Clearance,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB073,200.00
77,Serum Cholesterol,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB074,150.00
78,Total Iron Binding Capacity (TIBC),Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB075,300.00
79,Glucose (Fasting & PP),Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB076,80.00
80,Serum Calcium -Total,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB077,150.00
81,Serum Calcium - Ionic,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB078,600.00
82,Serum Phosphorus,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB079,150.00
83,Total Protein Albumin/Globulin Ratio (A/G Ratio),Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB080,70.00
84,Immunoglobulin G (IgG),Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB081,400.00
85,Immunoglobulin M(IgM),Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB082,400.00
86,Immunoglobulin A(IgA),Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB083,400.00
87,Antinuclear Antibody (ANA),Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB084,655.00
88,Anti-double stranded DNA (anti-dsDNA),Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB085,800.00
89,Serum Glutamic Pyruvic Transaminase (SGPT) / Alanine Aminotransferase (ALT),Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB086,100.00
90,Serum Glutamic Oxaloacetic Transaminase (SGOT) /Aspartate Aminotransferase (AST),Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB087,100.00
91,Serum Amylase,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB088,300.00
92,Serum Lipase,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB089,400.00
93,Serum Lactate,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB090,500.00
94,Serum Magnesium,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB091,300.00
95,Serum Sodium,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB092,120.00
96,Serum Potassium,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB093,120.00
97,Chloride,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB094,150.00
98,Serum Bicarbonate,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB095,200.00
99,Serum Ammonia,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB096,670.00
100,"Anaemia Profile (Hb, Serum Iron, TIBC, Ferritin, Transferrin Saturation,Stool Occult Blood, CBC, Reticulocyte Count)",Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB097,1320.00
101,Serum Testosterone,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB098,400.00
102,Imprint Smear from Endoscopy,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB099,1000.00
103,Triglycerides,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB100,150.00
104,Glucose Tolerance Test (GTT),Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB101,300.00
105,"Triple Marker Test (AFP,HCG,UE3)",Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB102,1500.00
106,Creatine Phosphokinase (CPK)/Creatine Kinase (CK),Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB103,230.00
107,Foetal Haemoglobin (HbF),Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB104,500.00
108,Prothrombin Time (PT)/ International normalized ratio (INR),Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB105,250.00
109,Lactate dehydrogenase (LDH),Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB106,220.00
110,Alkaline Phosphatase,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB107,150.00
111,Acid Phosphatase,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB108,150.00
112,CPK MB/CK MB,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB109,360.00
113,CK MB Mass/CPK MB Mass,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB110,360.00
114,Troponin I,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB111,700.00
115,Troponin T,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB112,700.00
116,Glucose-6-Phosphate Dehydrogenase (G6PD),Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB113,300.00
117,Lithium,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB114,350.00
118,Dilantin (Phenytoin),Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB115,600.00
119,Carbamazepine.,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB116,700.00
120,Cyclosporine,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB117,2500.00
121,Valproic acid.,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB118,600.00
122,Blood gas analysis / Arterial Blood Gas (ABG),Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB119,560.00
123,Blood gas analysis / Arterial Blood Gas (ABG) with electrolytes,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB120,800.00
124,Urine Pregnancy Test(UPT),Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB121,100.00
125,Glycosylated Haemoglobin (HbA1c),Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB122,300.00
126,"Kidney Function Test (KFT)- (Sr.Creatinine,Blood Urea,BUN,Sr.Uric Acid,Sr.Sodium,Sr.Potassium,Urine R/E)",Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB123,500.00
127,Liver Function Test (LFT),Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB124,500.00
128,"Lipid Profile (Total cholesterol ,Triglycerides, LDL, HDL,VLDL)",Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB125,490.00
129,Serum Ferritin,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB126,350.00
130,Vitamin B12 Assay.,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB127,600.00
131,Folic Acid Assay.,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB128,650.00
132,"Extended Lipid Profile. (Total cholesterol, LDL,HDL, Triglycerides Apo A1, Apo B,Lp (a) )",Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB129,1000.00
133,Apolipoprotein A1 (ApoA1),Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB130,400.00
134,Apolipoprotein B (Apo B),Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB131,400.00
135,Lipoprotein A / Lp A,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB132,400.00
136,"CD 3,4 and 8 Counts",Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB133,1240.00
137,"CD 3,4 and 8 Percentage",Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB134,1510.00
138,Low Density Lipoprotein (LDL),Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB135,150.00
139,Homocysteine,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB136,650.00
140,Serum Electrophoresis,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB137,700.00
141,Fibrinogen,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB138,500.00
142,Gamma-Glutamyl Transpeptidase (GGTP),Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB139,150.00
143,Fructosamine,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB140,500.00
144,Beta 2 microglobulin (B2M) /_2 microglobulin,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB141,600.00
145,Prostate Specific Antigen (PSA)- Total,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB142,475.00
146,Prostate-Specific Antigen (PSA) - Free,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB143,800.00
147,Alpha Fetoprotein (AFP),Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB144,550.00
148,Human Chorionic Gonadotropin (HCG)/ Beta HCG,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB145,450.00
149,Cancer Antigen 125 (CA 125),Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB146,800.00
150,Cancer Antigen 19.9 (CA 19.9),Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB147,800.00
151,Cancer Antigen 15.3 (CA 15.3),Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB148,800.00
152,Vanillylmandelic Acid (VMA),Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB149,1600.00
153,Calcitonin,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB150,1200.00
154,Carcinoembryonic Antigen (CEA),Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB151,600.00
155,Direct Immunofluorescence (Skin and Kidney Disease etc),Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB152,1200.00
156,Indirect (anti ds DNA Anti Smith ANCA),Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB153,1200.00
157,Calcidiol / 25-hydroxycholecalciferol / Vitamin D3 assay (Vit D3),Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB154,1000.00
158,Serum Protein electrophoresis with immunofixation electrophoresis (IFE),Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB155,700.00
159,Anti-Cyclic Citrullinated Peptide (Anti CCP),Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB156,900.00
160,Anti-tissue Transglutaminase antibody (Anti TTG Antibody) / Tissue Transglutaminase IgA (tTg-IgA),Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB157,800.00
161,Serum Erythropoietin,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB158,1200.00
162,Adrenocorticotropic Hormone (ACTH),Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB159,1200.00
163,"T3, T4, TSH -Thyroid Function Test (TFT)",Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB160,450.00
164,Thyroid stimulating hormone (TSH),Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB161,200.00
165,Luteinizing hormone (LH),Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB162,400.00
166,Follicle stimulating hormone (FSH),Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB163,400.00
167,Prolactin,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB164,400.00
168,Cortisol,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB165,550.00
169,PTH(Parathormone),Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB166,1000.00
170,C-Peptide (Connecting Peptide),Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB167,750.00
171,Insulin,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB168,500.00
172,Progesterone,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB169,400.00
173,17 Hydroxyprogesterone (17 OH Progesterone),Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB170,750.00
174,Dehydroepiandrosterone sulfate (DHEAS),Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB171,1000.00
175,Androstenedione,Laboratory Investigation,TIER I,NABH,GENERAL WARD,LB172,1000.00
