Cghs Rate List1500.00,,,,,,,
SNo.,Procedure Name,Speciality Classification,Tier,Facility,Ward,Cghs Code No.,Rate (?)
548,"BCR/ABL (Ph) duplication, trisomy 8, trisomy 21, TP53 deletion",Oncology Investigations,TIER I,NABH,GENERAL WARD,CA018,6095.00
549,BCR/ABL Ph: t(9;22),Oncology Investigations,TIER I,NABH,GENERAL WARD,CA019,3485.00
550,BCR-ABL by PCR-Quantitative,Oncology Investigations,TIER I,NABH,GENERAL WARD,CA020,4000.00
551,BRAF,Oncology Investigations,TIER I,NABH,GENERAL WARD,CA021,9000.00
552,BRCA1 & BRCA2,Oncology Investigations,TIER I,NABH,GENERAL WARD,CA022,20000.00
553,C3d Single Allele Antibody for HLA Class I (C3dLSA Class I) /C3d Single Allele Antibody for HLA Class II (C3dLSA Class II),Oncology Investigations,TIER I,NABH,GENERAL WARD,CA023,17500.00
554,CAN ASSIST,Oncology Investigations,TIER I,NABH,GENERAL WARD,CA024,50000.00
555,CCND1/IgH: t(11;14),Oncology Investigations,TIER I,NABH,GENERAL WARD,CA025,4690.00
556,CD 19 and CD 20,Oncology Investigations,TIER I,NABH,GENERAL WARD,CA026,1500.00
557,Cell line karyotyping,Oncology Investigations,TIER I,NABH,GENERAL WARD,CA027,11100.00
558,Chimerism Analysis,Oncology Investigations,TIER I,NABH,GENERAL WARD,CA028,1540.00
559,Chromosomal breakage (fragility) studies in Fanconi's Anemia/Aplastic Anemia,Oncology Investigations,TIER I,NABH,GENERAL WARD,CA029,5545.00
560,Chronic Lymphocytic Leukemia (CLL) Panel,Oncology Investigations,TIER I,NABH,GENERAL WARD,CA030,11570.00
561,"Chronic Lymphocytic Leukemia Comprehensive Mutation Profile (IGVH Gene Mutation & Usage, T",Oncology Investigations,TIER I,NABH,GENERAL WARD,CA031,33320.00
562,Chronic Lymphocytic Leukemia IGVH Mutation Detection,Oncology Investigations,TIER I,NABH,GENERAL WARD,CA032,6350.00
563,Chronic Lymphoproliferative disorder IGVH Mutation Detection,Oncology Investigations,TIER I,NABH,GENERAL WARD,CA033,6350.00
564,Chronic Lymphoproliferative disorder NOTCH1 mutation / NOTCH2 mutation,Oncology Investigations,TIER I,NABH,GENERAL WARD,CA034,5390.00
565,Chronic Lymphoproliferative disorder SF3B1 mutation,Oncology Investigations,TIER I,NABH,GENERAL WARD,CA035,5390.00
566,Chronic Lymphoproliferative disorder TP53 mutation,Oncology Investigations,TIER I,NABH,GENERAL WARD,CA036,23020.00
567,CLINICAL EXOME SEQUENCING,Oncology Investigations,TIER I,NABH,GENERAL WARD,CA037,15000.00
568,CLL PANEL FISH,Oncology Investigations,TIER I,NABH,GENERAL WARD,CA038,10000.00
569,CML Blast Crisis karyotyping,Oncology Investigations,TIER I,NABH,GENERAL WARD,CA039,5545.00
570,Combined High Sensitivity JAK2 V617F and Exon12 Mutation Detection,Oncology Investigations,TIER I,NABH,GENERAL WARD,CA040,6830.00
571,Comprehensive Molecular Testing,Oncology Investigations,TIER I,NABH,GENERAL WARD,CA041,19320.00
572,Comprehensive Next Generation sequencing assay for Hematolymphoid malignancies,Oncology Investigations,TIER I,NABH,GENERAL WARD,CA042,27000.00
573,Constitutional karyotyping,Oncology Investigations,TIER I,NABH,GENERAL WARD,CA043,5545.00
574,Custom Sequencing Assay,Oncology Investigations,TIER I,NABH,GENERAL WARD,CA044,11040.00
575,DICER1 Mutation,Oncology Investigations,TIER I,NABH,GENERAL WARD,CA045,3880.00
576,Donor Specific Antibodies (DSA),Oncology Investigations,TIER I,NABH,GENERAL WARD,CA046,8000.00
577,EGFR Mutation DETECTION,Oncology Investigations,TIER I,NABH,GENERAL WARD,CA047,9500.00
578,EGFR Resistance Mutation (T790m Mutation Analysis),Oncology Investigations,TIER I,NABH,GENERAL WARD,CA048,8000.00
579,ER PR Her2 Neu,Oncology Investigations,TIER I,NABH,GENERAL WARD,CA049,3150.00
580,"ER/PR/Her2neu, Ki67",Oncology Investigations,TIER I,NABH,GENERAL WARD,CA050,5000.00
581,Extended Immune subset for Post Allogenic Stem Cell Transplant Monitoring,Oncology Investigations,TIER I,NABH,GENERAL WARD,CA051,5000.00
582,Factor V Leiden Mutation Detection,Oncology Investigations,TIER I,NABH,GENERAL WARD,CA052,6600.00
583,FISH for 1p33/TAL1 deletion,Oncology Investigations,TIER I,NABH,GENERAL WARD,CA053,4980.00
584,FISH FOR HER2 Neu,Oncology Investigations,TIER I,NABH,GENERAL WARD,CA054,10000.00
585,FISH for t(10;11)(p12;q14)/MLLT10(AF10)/PICALM,Oncology Investigations,TIER I,NABH,GENERAL WARD,CA055,4980.00
586,FISH for t(11;19)(q23;p13.1)/KMT2A/ELL,Oncology Investigations,TIER I,NABH,GENERAL WARD,CA056,4980.00
587,FISH for t(5;11)(q35;p15.5) NUP98/NSD1,Oncology Investigations,TIER I,NABH,GENERAL WARD,CA057,4980.00
588,FISH for t(6;14)(p21;q32) IGH/CCND3,Oncology Investigations,TIER I,NABH,GENERAL WARD,CA058,4980.00
589,FISH on Bone marrow Smear( 1 marker),Oncology Investigations,TIER I,NABH,GENERAL WARD,CA059,3485.00
590,FISH on bone marrow smear( 2 markers),Oncology Investigations,TIER I,NABH,GENERAL WARD,CA060,5475.00
591,FISH on FFPE - Block /Slide (2 markers),Oncology Investigations,TIER I,NABH,GENERAL WARD,CA061,4760.00
592,FISH PANEL FOR MYELOMA,Oncology Investigations,TIER I,NABH,GENERAL WARD,CA062,14000.00
593,FISH Test for C19MC amplification,Oncology Investigations,TIER I,NABH,GENERAL WARD,CA063,12750.00
594,FISH test for CDKN2A,Oncology Investigations,TIER I,NABH,GENERAL WARD,CA064,7450.00
595,FISH test for CEN 10 loss - on Tissue,Oncology Investigations,TIER I,NABH,GENERAL WARD,CA065,4150.00
596,FISH test for ETV6 break-apart analysis - On Tissue,Oncology Investigations,TIER I,NABH,GENERAL WARD,CA066,6970.00
597,FISH test for MAML2 break-apart analysis - On Tissue,Oncology Investigations,TIER I,NABH,GENERAL WARD,CA067,7160.00
598,Fluorescent PCR + fragment length analysis per Amplicon,Oncology Investigations,TIER I,NABH,GENERAL WARD,CA068,350.00
599,GeneCORE Somatic 161 Gene Panel (NGS),Oncology Investigations,TIER I,NABH,GENERAL WARD,CA069,30000.00
600,Hairy Cell Leukemia Mutation (BRAF V600E) Detection,Oncology Investigations,TIER I,NABH,GENERAL WARD,CA070,3490.00
601,Hematolymphoid Malignancy At Diagnosis- Cancer Cytogenetics Testing,Oncology Investigations,TIER I,NABH,GENERAL WARD,CA071,17115.00
602,Hematolymphoid Malignancy Follow-up- Cancer Cytogenetics Testing,Oncology Investigations,TIER I,NABH,GENERAL WARD,CA072,15000.00
603,Hereditary Cancer Panel,Oncology Investigations,TIER I,NABH,GENERAL WARD,CA073,12000.00
604,High Sensitivity JAK2 Mutation Detection (V617F),Oncology Investigations,TIER I,NABH,GENERAL WARD,CA074,4610.00
605,Histone Mutation Detection Assay,Oncology Investigations,TIER I,NABH,GENERAL WARD,CA075,9275.00
606,"HLA C, DQB Molecular Typing PCR - SSP",Oncology Investigations,TIER I,NABH,GENERAL WARD,CA076,7370.00
607,HLA Disease Association Next Generation Sequencing HLA-A/B/DRB1/G,Oncology Investigations,TIER I,NABH,GENERAL WARD,CA077,4700.00
608,HLA Disease Association Sequence based Typing HLA A/B/DRB1,Oncology Investigations,TIER I,NABH,GENERAL WARD,CA078,4800.00
609,HLA Drug Hypersensitivity Next Generation Sequencing HLA-A/B/DRB1 HLA-A/B/DRB1/G,Oncology Investigations,TIER I,NABH,GENERAL WARD,CA079,4700.00
610,HLA Drug Hypersensitivity Typing HLA-A/B/DRB1,Oncology Investigations,TIER I,NABH,GENERAL WARD,CA080,4800.00
611,HLA Loss Chimerism,Oncology Investigations,TIER I,NABH,GENERAL WARD,CA081,12000.00
612,"HLA-A, B, C, DRB1, DQB1, DPB1 (Sequence Based Typing - SBT)",Oncology Investigations,TIER I,NABH,GENERAL WARD,CA082,15000.00
613,"HLA-A, B, DRB1 (Sequence Based Typing - SBT)",Oncology Investigations,TIER I,NABH,GENERAL WARD,CA083,10000.00
614,"HLA-A, B, DRB1(Sequence Specific Oligonucleotide - SSO)",Oncology Investigations,TIER I,NABH,GENERAL WARD,CA084,7800.00
615,"HLA-C, DQB1(Sequence Specific Oligonucleotide - SSO)",Oncology Investigations,TIER I,NABH,GENERAL WARD,CA085,5200.00
616,HRR Gene Test,Oncology Investigations,TIER I,NABH,GENERAL WARD,CA086,31000.00
617,"IGH Characterization IGH/CCND1:t(11;14), IGH/BCL2:t(14;18),BCL6(3q27), MYC(8q24) (4markers",Oncology Investigations,TIER I,NABH,GENERAL WARD,CA087,5300.00
618,IgH/BCL2 :t(14;18),Oncology Investigations,TIER I,NABH,GENERAL WARD,CA088,4690.00
619,IGHV Gene Mutation,Oncology Investigations,TIER I,NABH,GENERAL WARD,CA089,7500.00
620,Interphase FISH test for Chr. 1 copy number variations,Oncology Investigations,TIER I,NABH,GENERAL WARD,CA090,10700.00
621,IRFA/DUSP22 gene rearrangement by FISH,Oncology Investigations,TIER I,NABH,GENERAL WARD,CA091,15580.00
622,JAK2 Exon 12 Mutation Detection,Oncology Investigations,TIER I,NABH,GENERAL WARD,CA092,4610.00
623,"JAK2V617 MUTATION, WITH REFLEX TO JAK2 EX-12,CALR EX-9 MUTATION AND MPL W515, S505 MUTATION",Oncology Investigations,TIER I,NABH,GENERAL WARD,CA093,11500.00
624,KI67,Oncology Investigations,TIER I,NABH,GENERAL WARD,CA094,1300.00
625,KIR Typing,Oncology Investigations,TIER I,NABH,GENERAL WARD,CA095,5800.00
626,KMT2A Characterization for AML,Oncology Investigations,TIER I,NABH,GENERAL WARD,CA096,7895.00
627,KMT2A Characterization for B-ALL,Oncology Investigations,TIER I,NABH,GENERAL WARD,CA097,6095.00
628,KRAS + NRAS + BRAF + Mutation Profile,Oncology Investigations,TIER I,NABH,GENERAL WARD,CA098,13800.00
629,"Lineage specific Chimerism - B Cell, T Cell and NK Cells",Oncology Investigations,TIER I,NABH,GENERAL WARD,CA099,7200.00
630,Liquid Biopsy (Onco),Oncology Investigations,TIER I,NABH,GENERAL WARD,CA100,30000.00
631,Lung Basic Panel By NGS,Oncology Investigations,TIER I,NABH,GENERAL WARD,CA101,30000.00
632,Lymphoma Panel,Oncology Investigations,TIER I,NABH,GENERAL WARD,CA102,6970.00
633,Lymphoplasmacytic Leukemia / Waldenstroms Macroglobulinemia Mutation (MYD88 L265P) Detection,Oncology Investigations,TIER I,NABH,GENERAL WARD,CA103,3490.00
634,MDS Panel,Oncology Investigations,TIER I,NABH,GENERAL WARD,CA104,6970.00
635,MECOM (EVI1) rearrangement: inv(3)(q21.3q26.2)/t(3;3),Oncology Investigations,TIER I,NABH,GENERAL WARD,CA105,4690.00
636,MGMT PCR,Oncology Investigations,TIER I,NABH,GENERAL WARD,CA106,8140.00
637,Miscellaneous Profile I(1 marker),Oncology Investigations,TIER I,NABH,GENERAL WARD,CA107,3485.00
638,Miscellaneous profile II(2 markers),Oncology Investigations,TIER I,NABH,GENERAL WARD,CA108,5475.00
639,MLPA per gene,Oncology Investigations,TIER I,NABH,GENERAL WARD,CA109,4000.00
640,Monosomy 5/deletion 5q,Oncology Investigations,TIER I,NABH,GENERAL WARD,CA110,3485.00
641,Monosomy 7/deletion 7q,Oncology Investigations,TIER I,NABH,GENERAL WARD,CA111,3485.00
642,MPN (Myelo Proliferative Neoplasm)PANEL,Oncology Investigations,TIER I,NABH,GENERAL WARD,CA112,12000.00
643,MSI ( Micro Satellite Instability) and MMR (Mis Match Repair),Oncology Investigations,TIER I,NABH,GENERAL WARD,CA113,6500.00
644,Multigene NGS Germline Panel,Oncology Investigations,TIER I,NABH,GENERAL WARD,CA114,18000.00
645,Multiple Myeloma (MM) Panel,Oncology Investigations,TIER I,NABH,GENERAL WARD,CA115,14870.00
646,Multiple Myeloma High Risk Markers (4 Markers),Oncology Investigations,TIER I,NABH,GENERAL WARD,CA116,5300.00
647,Multiple Myeloma Screening Panel,Oncology Investigations,TIER I,NABH,GENERAL WARD,CA117,8000.00
648,MYD88 L265 Mutation Detection Test,Oncology Investigations,TIER I,NABH,GENERAL WARD,CA118,6760.00
649,Myelodysplastic Syndromes karyotyping,Oncology Investigations,TIER I,NABH,GENERAL WARD,CA119,5545.00
650,Next generation RNA sequencing assay for Chimeric Trancript in Hematolymphod malignancies,Oncology Investigations,TIER I,NABH,GENERAL WARD,CA120,17000.00
651,Next Generation sequencing assay for Minimal residual disease(MRD) for NPM mutated AML,Oncology Investigations,TIER I,NABH,GENERAL WARD,CA121,27000.00
652,NGS HLA Typing,Oncology Investigations,TIER I,NABH,GENERAL WARD,CA122,10000.00
653,NGS Platform-extended Panel >50 gene,Oncology Investigations,TIER I,NABH,GENERAL WARD,CA123,36000.00
654,NGS Platform-limited Panel(10 Genes),Oncology Investigations,TIER I,NABH,GENERAL WARD,CA124,18000.00
655,NRAS (Neuroblastoma RAS ) Gene,Oncology Investigations,TIER I,NABH,GENERAL WARD,CA125,3500.00
656,Panel Reactive Antibodies (PRA) class I,Oncology Investigations,TIER I,NABH,GENERAL WARD,CA126,3000.00
657,Panel Reactive Antibodies (PRA) class II,Oncology Investigations,TIER I,NABH,GENERAL WARD,CA127,3000.00
658,PCR + Sanger Sequencing per Amplicon,Oncology Investigations,TIER I,NABH,GENERAL WARD,CA128,850.00
659,"PDGFRA (4q12), PDGFRB (5q33), FGFR1 (8p11.2) rearrangement",Oncology Investigations,TIER I,NABH,GENERAL WARD,CA129,6095.00
660,PDGFRA rearrangement: 4q12,Oncology Investigations,TIER I,NABH,GENERAL WARD,CA130,4690.00
661,PDGFRB rearrangement: 5q33,Oncology Investigations,TIER I,NABH,GENERAL WARD,CA131,4690.00
662,PDL 1,Oncology Investigations,TIER I,NABH,GENERAL WARD,CA132,5000.00
663,PDL-1-28-8 (FDA Approved),Oncology Investigations,TIER I,NABH,GENERAL WARD,CA133,7500.00
664,Ph: t(9;22) karyotyping,Oncology Investigations,TIER I,NABH,GENERAL WARD,CA134,3955.00
665,Ph-like ALL Panel (4 Markers),Oncology Investigations,TIER I,NABH,GENERAL WARD,CA135,5300.00
666,PIK3CA GENE MUTATION,Oncology Investigations,TIER I,NABH,GENERAL WARD,CA136,5400.00
667,PIK3CA Mutation Testing,Oncology Investigations,TIER I,NABH,GENERAL WARD,CA137,5700.00
668,Ploidy analysis,Oncology Investigations,TIER I,NABH,GENERAL WARD,CA138,3955.00
669,"PML-RARA t(15;17), variants",Oncology Investigations,TIER I,NABH,GENERAL WARD,CA139,5235.00
670,PRA Screen,Oncology Investigations,TIER I,NABH,GENERAL WARD,CA140,3000.00
671,PTPRT: Deletion 20q,Oncology Investigations,TIER I,NABH,GENERAL WARD,CA141,4690.00
672,RARA Variant - ZBTB16 / RARA : t(11;17) (1 marker),Oncology Investigations,TIER I,NABH,GENERAL WARD,CA142,3030.00
673,RHOA Mutation Detection Assay,Oncology Investigations,TIER I,NABH,GENERAL WARD,CA143,6970.00
674,ROS 1,Oncology Investigations,TIER I,NABH,GENERAL WARD,CA144,9720.00
675,RQ PCR based assay for MRD monitoring of Acute Leukaemia,Oncology Investigations,TIER I,NABH,GENERAL WARD,CA145,9500.00
676,RQ-PCR BCR-ABL (P210),Oncology Investigations,TIER I,NABH,GENERAL WARD,CA146,10960.00
677,RQ-PCR PML-RARA,Oncology Investigations,TIER I,NABH,GENERAL WARD,CA147,10960.00
678,"RT-PCR Multiplex, Acute Leukaemia Panel",Oncology Investigations,TIER I,NABH,GENERAL WARD,CA148,7300.00
679,"RT-PCR Multiplex, BCR-ABL (P190, P210)",Oncology Investigations,TIER I,NABH,GENERAL WARD,CA149,6350.00
680,"RT-PCR Nested, IGH Chain Gene Rearrangement /TCR Gene Rearrangement",Oncology Investigations,TIER I,NABH,GENERAL WARD,CA150,4610.00
681,Single Antigen Class I,Oncology Investigations,TIER I,NABH,GENERAL WARD,CA151,13000.00
682,Single Antigen Class II,Oncology Investigations,TIER I,NABH,GENERAL WARD,CA152,13000.00
683,Slide / Images for Second Opinion- Cancer Cytogenetics,Oncology Investigations,TIER I,NABH,GENERAL WARD,CA153,920.00
684,STR Panel studies,Oncology Investigations,TIER I,NABH,GENERAL WARD,CA154,4450.00
685,Surface Marker Complete Panel,Oncology Investigations,TIER I,NABH,GENERAL WARD,CA155,12165.00
686,Surface Marker Individual,Oncology Investigations,TIER I,NABH,GENERAL WARD,CA156,1900.00
687,t(1;22) and Trisomy 21 in Acute Megakaryoblastic Leukemia (AML -M7) (2 Markers),Oncology Investigations,TIER I,NABH,GENERAL WARD,CA157,4760.00
688,T-cell Acute Lymphoblastic Leukemia (T-ALL) Panel,Oncology Investigations,TIER I,NABH,GENERAL WARD,CA158,15170.00
689,TCR-A rearrangement: 14q11,Oncology Investigations,TIER I,NABH,GENERAL WARD,CA159,4690.00
690,TERT Promoter Mutation Assay,Oncology Investigations,TIER I,NABH,GENERAL WARD,CA160,5805.00
691,TFE-3 FISH,Oncology Investigations,TIER I,NABH,GENERAL WARD,CA161,12080.00
692,TPMT (Thiopurine Methyl Transferase) Genotyping,Oncology Investigations,TIER I,NABH,GENERAL WARD,CA162,5100.00
693,Trisomy 12,Oncology Investigations,TIER I,NABH,GENERAL WARD,CA163,2425.00
694,Trisomy 21,Oncology Investigations,TIER I,NABH,GENERAL WARD,CA164,2425.00
695,"Trisomy 4, 10 & 17",Oncology Investigations,TIER I,NABH,GENERAL WARD,CA165,3485.00
696,Trisomy 8,Oncology Investigations,TIER I,NABH,GENERAL WARD,CA166,2425.00
697,V Beta Repertoire Analysis by Flow Cytometry for T-Cell Clonality,Oncology Investigations,TIER I,NABH,GENERAL WARD,CA167,12165.00
698,XX/XY (Chimerism Studies) in Sex mismatch Bone Marrow Transplantation (BMT),Oncology Investigations,TIER I,NABH,GENERAL WARD,CA168,2425.00
699,Single drug Chemotherapy,Chemotherapy,TIER I,NABH,GENERAL WARD,CT001,1700.00
700,Multiple drugs Chemotherapy/Targeted therapy/Immunotherapy,Chemotherapy,TIER I,NABH,GENERAL WARD,CT002,2300.00
701,Neoadjuvant Chemotherapy,Chemotherapy,TIER I,NABH,GENERAL WARD,CT003,2700.00
702,Adjuvant Chemotherapy,Chemotherapy,TIER I,NABH,GENERAL WARD,CT004,2200.00
703,Concurrent-chemoradiation,Chemotherapy,TIER I,NABH,GENERAL WARD,CT005,1900.00
704,Intravesical Instillation of BCG excluding the cost of BCG,Chemotherapy,TIER I,NABH,GENERAL WARD,CT006,3000.00
705,Level 1- Brachytherapy (Eye Plaque or SIVA or CVS per insertion or application),Radiotherapy,TIER I,NABH,GENERAL WARD,RT001,7000.00
706,"Level 2- Brachytherapy (Simple ICA with Xray based 2D planning, ILRT, Endobilliary BCT)",Radiotherapy,TIER I,NABH,GENERAL WARD,RT002,10000.00
707,"Level 3- Brachytherapy(Surface Mould, Radical Interstitial BCT, Intraoperative Template or interstitial brachytherapy catheter insertion)",Radiotherapy,TIER I,NABH,GENERAL WARD,RT003,25000.00
708,Level 4- Brachytherapy (ICA with CT based Planning),Radiotherapy,TIER I,NABH,GENERAL WARD,RT004,30000.00
709,Level 5- Brachytherapy (Complex ICA with interstitial with CT or MR based planning),Radiotherapy,TIER I,NABH,GENERAL WARD,RT005,40000.00
710,Level 1- Radiation Therapy (1-10 fractions on Cobalt),Radiotherapy,TIER I,NABH,GENERAL WARD,RT006,15000.00
711,Level 2- Radiation Therapy(More than 10 fractions on Cobalt OR Upto 10 fractions on LA clinical (without CT or TPS planning) without IGRT OR Hemibody palliative RT (1-2 fractions weekly)),Radiotherapy,TIER I,NABH,GENERAL WARD,RT007,28000.00
712,Level 3- Radiation Therapy (LA 3D with conventional fractionation of 2-5 Gy OR Weekly hypofractionation of >5 Gy with 3D CRT plan in 1-2 fractions. No IGRT allowed.),Radiotherapy,TIER I,NABH,GENERAL WARD,RT008,50000.00
713,Level 4- Radiation therapy (LA 3D with IGRT conventional fractionation of 2- 5 Gy OR Weekly hypofractionation >5 Gy with 3D CRT plan in 1-2 fractions. with IGRT),Radiotherapy,TIER I,NABH,GENERAL WARD,RT009,63000.00
714,Level 5- Radiation Therapy (LA IMRT/ Rapid Arc/VMAT with < 5Gy per fraction and <10 IGRT (CBCT or MVCT or EPID) OR Cobalt Radical with LA boost including electron boost OR TSET OR TBI),Radiotherapy,TIER I,NABH,GENERAL WARD,RT010,150000.00
715,Level 6- Radiation Therapy (LA 4D/DE or DIBH with 3D CRT/ IMRT/ Rapid Arc/VMAT with >10 IGRT (CBCT or MVCT or EPID) OR LA IMRT/ Rapid Arc/VMAT with <5Gy per fraction and >10 IGRT (CBCT or MVCT or EPID) OR Adaptive RT OR CSI OR Multisite treatment outside one FOV or one plan OR SBRT OR SRS OR SRT (per fraction dose >5Gy)),Radiotherapy,TIER I,NABH,GENERAL WARD,RT011,180000.00
716,Radiosynovectomy with Yttrium,Radio-Isotope Therapy,TIER I,NABH,GENERAL WARD,IT001,25000.00
717,131-Iodine Therapy 51-100mCi,Radio-Isotope Therapy,TIER I,NABH,GENERAL WARD,IT002,14320.00
718,131-Iodine Therapy >100mCi,Radio-Isotope Therapy,TIER I,NABH,GENERAL WARD,IT003,19775.00
719,Samarium-153 therapy for metastatic bone pain palliation,Radio-Isotope Therapy,TIER I,NABH,GENERAL WARD,IT004,20050.00
720,131-Iodine Therapy <15mCi,Radio-Isotope Therapy,TIER I,NABH,GENERAL WARD,IT005,7410.00
721,131-Iodine Therapy 15-50mCi,Radio-Isotope Therapy,TIER I,NABH,GENERAL WARD,IT006,11160.00
722,Phosphorus-32 therapy for metastatic bone pain palliation,Radio-Isotope Therapy,TIER I,NABH,GENERAL WARD,IT007,14165.00
723,Cervical Traction (per session),Physiotherapy,TIER I,NABH,GENERAL WARD,PT001,300.00
724,Lumbar Traction (per session),Physiotherapy,TIER I,NABH,GENERAL WARD,PT002,300.00
725,Exercises /Post Natal Exercises/Prenatal Exercises/Therapeutic Exercises/Orthopaedic Rehabilitation (Joint Replacement/Post Surgery)/Hand Rehab (per session),Physiotherapy,TIER I,NABH,GENERAL WARD,PT003,300.00
726,Chest Physiotherapy/ Breathing Exercise &Postural Drainage per Session/Post Covid Rehabilitation /Pulmonary Rehabilitation/Cardiac Rehabilitation (per session),Physiotherapy,TIER I,NABH,GENERAL WARD,PT004,300.00
727,Ultra Sonic Therapy /Short Wave Diathermy / Microwave/ Long Wave Diathermy /Infrared/IFT) (per session),Physiotherapy,TIER I,NABH,GENERAL WARD,PT005,300.00
728,Electrical Muscle Stimulation/Cryotherapy/TENS (per session),Physiotherapy,TIER I,NABH,GENERAL WARD,PT006,400.00
729,Hot Pack/ Cold Pack/Wax Bath/Moist Heat (per session),Physiotherapy,TIER I,NABH,GENERAL WARD,PT007,300.00
730,Shock Wave Therapy/Matrix Rhythm Therapy/Laser/PEMF -Pulse Electro Magnetic Therapy (per session),Physiotherapy,TIER I,NABH,GENERAL WARD,PT008,400.00
731,Gait Assessment (per session),Physiotherapy,TIER I,NABH,GENERAL WARD,PT009,600.00
732,Gait Training (per session),Physiotherapy,TIER I,NABH,GENERAL WARD,PT010,300.00
733,Tilt Training/Neuro-Rehab Basic (per session),Physiotherapy,TIER I,NABH,GENERAL WARD,PT011,300.00
734,Neuro Rehabilitation Advanced (per session),Physiotherapy,TIER I,NABH,GENERAL WARD,PT012,800.00
735,Paediatric Rehabilitation (per session),Physiotherapy,TIER I,NABH,GENERAL WARD,PT013,300.00
736,Speech Therapy per session of at least 40 minutes,Behavioural Therapy,TIER I,NABH,GENERAL WARD,BT001,400.00
737,Occupational Therapy per session of at least 40 minutes,Behavioural therapy,TIER I,NABH,GENERAL WARD,BT002,400.00
738,Applied Behaviour Analysis based behaviour therapy (ABA based Behaviour therapy) per session of at least 40 minutes,Behavioural therapy,TIER I,NABH,GENERAL WARD,BT003,400.00
739,Special education per session of at least 40 minutes,Behavioural therapy,TIER I,NABH,GENERAL WARD,BT004,400.00
740,Biofeedback per session,Behavioural therapy,TIER I,NABH,GENERAL WARD,BT005,3000.00
741,Intraoral Periapical (IOPA) Radiograph X-ray/RVG(Single Film),Dental Investigation,TIER I,NABH,GENERAL WARD,DI001,200.00
742,Intraoral Occlusal/Bite Wing X-Ray,Dental Investigation,TIER I,NABH,GENERAL WARD,DI002,300.00
743,Digital OPG with X ray film/ CD,Dental Investigation,TIER I,NABH,GENERAL WARD,DI003,500.00
744,Biopsy of Oral tissue- Soft,Dental Biopsy,TIER I,NABH,GENERAL WARD,DI004,1200.00
745,"Biopsy of Oral tissue - Hard (bone, tooth)",Dental Biopsy,TIER I,NABH,GENERAL WARD,DI005,2000.00
746,Abscess - Drainage-Dental,Dental Procedure,TIER I,NABH,GENERAL WARD,DP001,1500.00
747,Scaling,Dental Procedure,TIER I,NABH,GENERAL WARD,DP002,1000.00
748,Curettage and Root Planning - Per Tooth,Dental Procedure,TIER I,NABH,GENERAL WARD,DP003,350.00
749,Curettage and Root Planning - Per Arch,Dental Procedure,TIER I,NABH,GENERAL WARD,DP004,2000.00
750,Gingivoplasty - Per Quadrant,Dental Procedure,TIER I,NABH,GENERAL WARD,DP005,1000.00
751,Gingivectomy - Per Quadrant,Dental Procedure,TIER I,NABH,GENERAL WARD,DP006,1200.00
752,Flap Surgery- Per Tooth,Dental Procedure,TIER I,NABH,GENERAL WARD,DP007,450.00
753,Flap Surgery- Per Quadrant,Dental Procedure,TIER I,NABH,GENERAL WARD,DP008,2000.00
754,Flap Surgery and Bone Graft per quadrant,Dental Procedure,TIER I,NABH,GENERAL WARD,DP009,3000.00
755,Extraction - Normal Tooth,Dental Procedure,TIER I,NABH,GENERAL WARD,DP010,400.00
756,Complicated Extraction per tooth under LA,Dental Procedure,TIER I,NABH,GENERAL WARD,DP011,800.00
757,Extraction Impacted - Soft tissue/ 3rd Molar/wisdom tooth extraction,Dental Procedure,TIER I,NABH,GENERAL WARD,DP012,2000.00
758,"Multiple Extraction and Treatment Procedures for Special Children, Patients with Systemic Diseases, Patient with Special Needs Which Requires Admission and Treatment Under GA",Dental Procedure,TIER I,NABH,GENERAL WARD,DP013,6000.00
759,Extraction - Orthodontic Extraction,Dental Procedure,TIER I,NABH,GENERAL WARD,DP014,750.00
760,Operculectomy- Pericoronal flap excision,Dental Procedure,TIER I,NABH,GENERAL WARD,DP015,2000.00
761,Extraction Impacted - Bony,Dental Procedure,TIER I,NABH,GENERAL WARD,DP016,5000.00
762,Alveoloplasty - Per Tooth,Dental Procedure,TIER I,NABH,GENERAL WARD,DP017,300.00
763,Alveoloplasty - Per Quadrant,Dental Procedure,TIER I,NABH,GENERAL WARD,DP018,1200.00
764,Frenectomy,Dental Procedure,TIER I,NABH,GENERAL WARD,DP019,2500.00
765,Excision of hyperplastic tissue - per arch,Dental Procedure,TIER I,NABH,GENERAL WARD,DP020,1200.00
766,Surgical Augmentation/Alveolectomy per Arch,Dental Procedure,TIER I,NABH,GENERAL WARD,DP021,3500.00
767,Bone replacement graft for ridge preservation - per site,Dental Procedure,TIER I,NABH,GENERAL WARD,DP022,2000.00
768,"Minor oral surgery, cyst, granuloma, residual infection, mucocele, epulis under LA",Dental Procedure,TIER I,NABH,GENERAL WARD,DP023,2000.00
769,Application of Desensitizing Medicament,Dental Procedure,TIER I,NABH,GENERAL WARD,DP024,500.00
770,Fluoride Application for Children,Dental Procedure,TIER I,NABH,GENERAL WARD,DP025,1000.00
771,Temporary restoration,Dental Procedure,TIER I,NABH,GENERAL WARD,DP026,150.00
772,Glass ionomer Cement Restoration,Dental Procedure,TIER I,NABH,GENERAL WARD,DP027,600.00
